"","snp","chr","pos","p"
"199","rs32012436",5,24436022,1.21543761230304e-08
"200","rs29411856",11,95616814,1.24489111788608e-08
"201","rs46004215",5,24466986,1.25537957125188e-08
"202","rs32027980",5,24333074,1.27687626060286e-08
"203","rs32025548",5,24324676,1.29302908662756e-08
"204","rs32028918",5,24282759,1.31056601856303e-08
"205","rs48606052",5,23355356,1.31367892839325e-08
"206","rs29821439",5,21819251,1.39837394293185e-08
"207","rs33361596",5,21962004,1.54185516861521e-08
"208","rs29781277",5,24282846,1.55530390381254e-08
"209","rs262058417",11,96536413,1.60872538406963e-08
"210","rs45669399",5,23013214,1.66588756499828e-08
"211","rs32024845",5,24338737,1.93142459550742e-08
"212","rs49079416",11,94924170,2.13074760163485e-08
"213","rs32014790",5,24399884,2.15598163852696e-08
"214","rs107879863",5,23013095,2.24530076424379e-08
"215","rs240972506",5,23013075,2.25415821293444e-08
"216","rs257198067",5,23013081,2.27558751348122e-08
"217","rs32009039",5,24572204,2.43012316888905e-08
"218","rs46391892",5,24624748,2.51763918896551e-08
"219","rs47437208",5,24624813,2.5514333569072e-08
"220","rs33392103",5,24485566,2.61493934936785e-08
"221","rs256645070",11,97170825,2.63660876261467e-08
"222","rs29552982",5,23637259,2.78273602500449e-08
"223","rs253371014",5,24624979,2.80980522360381e-08
"224","rs247195021",5,24539938,2.86974768114491e-08
"225","rs27037815",11,96840366,2.93552996276909e-08
"226","rs46388417",5,23998829,3.02067273694566e-08
"227","rs108861811",5,23246338,3.09942505935759e-08
"228","rs234520490",5,24624911,3.26095510813926e-08
"229","rs108722749",5,23246351,3.27021045939529e-08
"230","rs47997787",5,23355199,3.40240601119851e-08
"231","rs107649828",5,23246297,3.42803240463495e-08
"232","rs27072344",11,95600831,3.5535415627683e-08
"233","rs50660418",11,95155430,3.72850427967834e-08
"234","rs29682880",5,24563040,4.04747940959787e-08
"235","rs30665832",5,23062650,4.05399789580903e-08
"236","rs29630112",5,23165126,4.1080399276626e-08
"237","rs228269888",5,23794259,4.22604016759387e-08
"238","rs33481730",5,24108006,4.49738700042874e-08
"239","rs33362143",5,23528378,4.49853386853988e-08
"240","rs239002084",5,24107938,4.57758007643919e-08
"241","rs48135043",5,23385209,5.15987474155836e-08
"242","rs6226231",5,23184691,5.60622856064292e-08
"243","rs33381816",5,24555979,5.80214145860112e-08
"244","rs32045019",5,24020586,5.83234013286472e-08
"245","rs29779641",5,24556147,5.84807144476427e-08
"246","rs49779525",5,23245701,5.91466699799193e-08
"247","rs33881700",11,96672992,6.03672575965188e-08
"248","rs51461094",5,23814212,6.14069775810743e-08
"249","rs265501778",5,22877488,6.1744068388735e-08
"250","rs212018887",5,23847888,6.30667477327128e-08
"251","rs49860014",5,23003670,6.68095019150616e-08
"252","rs49975713",5,24612612,6.79179046304562e-08
"253","rs45641268",11,94848349,7.39471343622751e-08
"254","rs46042549",5,23814285,7.59299003165822e-08
"255","rs29432180",11,96271814,7.82896936596766e-08
"256","rs48532806",11,96908205,8.37454681060035e-08
"257","rs213718441",5,24431153,8.37788137219345e-08
"258","rs27056611",11,96643505,8.66052912808656e-08
"259","rs49996308",5,23489309,8.85286217728671e-08
"260","rs51972660",5,23355187,9.06554670985347e-08
"261","rs33376405",5,24554519,9.65855417287201e-08
"262","rs51400320",5,23400502,1.09733190675479e-07
"263","rs32038607",5,24209947,1.10490894545536e-07
"264","rs33314189",5,23213912,1.11471329319422e-07
"265","rs48324806",11,95560274,1.11599684529676e-07
"266","rs47676464",5,24611166,1.11685810905901e-07
"267","rs32016545",5,24430941,1.13041489910027e-07
"268","rs29510734",5,24078462,1.18704194361722e-07
"269","rs50404581",5,23874337,1.21489521681611e-07
"270","rs52369886",5,23814219,1.21864526630677e-07
"271","rs49435235",5,23874119,1.24374923584756e-07
"272","rs45704837",5,23874130,1.24374923584756e-07
"273","rs49182911",5,23874286,1.39914575101832e-07
"274","rs46736775",5,23874294,1.42303631915581e-07
"275","rs255993602",11,94827321,1.43272975856957e-07
"276","rs33699963",5,24554522,1.43654971817623e-07
"277","rs32005198",5,24695019,1.45149718279308e-07
"278","rs45713116",5,23161482,1.49069079592556e-07
"279","rs231268630",11,94827312,1.5743865304381e-07
"280","rs236161687",5,23852625,1.7083582922128e-07
"281","rs47308619",5,23814074,1.75217256873341e-07
"282","rs47782196",5,23814105,1.77648145392701e-07
"283","rs32007349",5,24611448,1.90778627520333e-07
"284","rs253614757",5,23847934,2.03848618522089e-07
"285","rs32025635",5,24278036,2.12089618474922e-07
"286","rs108622795",11,95985541,2.20290161735826e-07
"287","rs47774332",5,23739322,2.30159223229209e-07
"288","rs220451901",5,23161442,2.31541453412111e-07
"289","rs50496130",5,23719962,2.38016953728202e-07
"290","rs32025638",5,24278012,2.43122837976221e-07
"291","rs221198603",5,23180569,2.71984641486625e-07
"292","rs266011757",11,96485162,2.73916092125664e-07
"293","rs51298615",5,23400471,2.77545442011311e-07
"294","rs33587195",5,24551761,2.79691821576378e-07
"295","rs46623419",5,23978272,2.83184678767733e-07
"296","rs32054269",5,23927847,3.4620361302181e-07
"297","rs265668924",5,22851474,3.61800033555455e-07
"298","rs222567396",5,24635366,3.65699424439214e-07
"299","rs33292219",5,24431790,3.85435434982292e-07
"300","rs46661257",11,95615610,3.86161741502375e-07
"301","rs265955915",5,23847498,3.91823206277188e-07
"302","rs49295920",5,23161338,4.12901437879688e-07
"303","rs31966723",5,21831593,4.17552680439229e-07
"304","rs47321992",5,24186392,4.26725886020568e-07
"305","rs32075276",5,23610564,4.33119428572293e-07
"306","rs232147340",5,24073392,4.35100511107391e-07
"307","rs241847852",5,23998862,4.38113317492958e-07
"308","rs32015836",5,24431834,4.52647139201153e-07
"309","rs32067476",5,23739040,4.69469951549198e-07
"310","rs33623114",5,23043818,4.69806031821973e-07
"311","rs45864854",11,96037366,4.74156823395487e-07
"312","rs32028008",5,24282999,4.77784181936029e-07
"313","rs33881483",11,96673041,5.33808351874142e-07
"314","rs37595485",5,22890231,5.45248110838123e-07
"315","rs45866288",5,24476695,5.53251927059372e-07
"316","rs29559443",5,23528336,5.72491046187841e-07
"317","rs31999037",5,24703263,5.8280735116222e-07
"318","rs49968171",5,23470488,5.89647410846673e-07
"319","rs51840803",5,23400172,5.89797240956808e-07
"320","rs236499396",5,24349322,6.11814906138663e-07
"321","rs243332293",5,24191929,6.14345855551495e-07
"322","rs48153403",5,24064646,6.52446688138057e-07
"323","cfw-11-96075295",11,96075295,6.82933473271965e-07
"324","rs32047624",5,23982846,6.93559426827248e-07
"325","rs29777175",5,24282934,6.95200597359192e-07
"326","rs49535620",5,23400482,7.15190724221951e-07
"327","rs250865182",5,23862329,7.27404950477696e-07
"328","rs108202458",5,23851941,7.91014324799998e-07
"329","rs26992386",11,95634066,8.81451253407065e-07
"330","rs52223612",5,23994667,8.88648710116231e-07
"331","rs229262940",5,23847898,8.88928128860127e-07
"332","rs47070462",11,94999524,9.21144747210333e-07
"333","rs51948869",5,24611490,9.47591359338506e-07
"334","rs255791755",11,96740180,1.01970296217427e-06
"335","rs32061672",5,23854022,1.05781392222824e-06
"336","rs29725838",5,23637435,1.07599034223739e-06
"337","rs49303650",5,24635014,1.08317442119231e-06
"338","rs228020758",5,22876229,1.17172577526183e-06
"339","rs32050347",5,23985107,1.28312160484798e-06
"340","rs231406768",5,22999564,1.2982268230432e-06
"341","rs29459420",11,96597374,1.30413628655308e-06
"342","rs3655406",5,23944736,1.36036237954495e-06
"343","rs52494565",5,24826986,1.41984521875078e-06
"344","rs29399964",11,95314548,1.42095968022135e-06
"345","rs27042169",11,95368720,1.44824974015995e-06
"346","rs50323061",5,24862261,1.47218966736714e-06
"347","rs49158352",11,96873409,1.49847540567684e-06
"348","rs27052698",11,96740154,1.65307194168037e-06
"349","rs214751167",11,95284413,1.692956809607e-06
"350","rs49572259",5,21379741,1.70802314542968e-06
"351","rs29561407",5,24551999,1.88729269340092e-06
"352","rs32037618",5,24187532,2.18033075767957e-06
"353","rs230215599",11,96185817,2.18319729164153e-06
"354","rs223411923",11,97102457,2.20693899158217e-06
"355","rs26992411",11,95005721,2.29342941506877e-06
"356","rs50669734",5,21379742,2.32229937669136e-06
"357","rs46205656",5,24188819,2.42034117073761e-06
"358","rs32032477",5,24209640,2.49546294973456e-06
"359","rs265832727",5,24349371,2.76996042772682e-06
"360","rs45999829",11,95560276,2.79886516843362e-06
"361","rs47862290",5,23417268,2.82490411698725e-06
"362","rs248945476",5,24430008,2.97307873308702e-06
"363","rs32006590",5,24612554,3.06636191519396e-06
"364","rs33485879",5,23068061,3.15226589330425e-06
"365","rs45729548",5,24614770,3.37335293131858e-06
"366","rs33484591",5,24950325,3.60309166540933e-06
"367","rs32022295",5,24361029,3.62636886464693e-06
"368","rs224654064",5,23985057,3.65945903205588e-06
"369","rs48702418",11,96262503,3.66625980333523e-06
"370","rs29426877",11,96293197,3.85406672602009e-06
"371","rs52060594",11,97037382,4.28666629131478e-06
"372","rs252553547",5,24908388,4.44909877544749e-06
"373","rs50609465",11,96562639,4.49340211666263e-06
"374","rs27055470",11,95707292,4.62875016828284e-06
"375","rs27089097",11,96481072,4.82674763051852e-06
"376","rs259880740",5,23716772,5.08927894161247e-06
"377","rs45814459",5,24126848,5.11412367251929e-06
"378","rs29507361",5,22007866,5.60033701450695e-06
"379","rs31949801",5,21979014,5.87170412057546e-06
"380","rs223274862",11,97102415,6.07359153916552e-06
"381","rs27075224",11,94857572,6.25785199248834e-06
"382","rs32058334",5,23862048,6.43285302991488e-06
"383","rs13466562",5,24567280,6.66590095251694e-06
"384","rs27037670",11,96903318,7.17160062493833e-06
"385","rs32041149",5,24064418,7.4174465118288e-06
"386","rs253668822",11,96216452,7.62031803187606e-06
"387","rs32069309",5,23766649,7.62112878354855e-06
"388","rs32032356",5,24274938,7.89038222107899e-06
"389","rs50379846",11,95566770,8.56879758001562e-06
"390","rs48649340",5,24186438,8.71285452557836e-06
"391","rs33462168",5,23807217,8.82719235510302e-06
"392","rs108720084",11,95985542,8.84462843173898e-06
"393","rs220473263",5,25117138,9.31734264551016e-06
"394","rs32088407",5,23470455,9.66125441181462e-06
"395","rs29777688",5,23003884,9.70863691237156e-06
"396","rs241883782",5,24326815,9.76310537333345e-06
"397","rs235630467",5,24747155,1.04019004552746e-05
"398","rs33382621",5,28067384,1.08681899667319e-05
"399","rs230070610",11,95314511,1.11356024045086e-05
"400","rs49554501",5,24612529,1.12705318004247e-05
"401","rs27062318",11,97055559,1.20866144257686e-05
"402","rs32023707",5,24326825,1.28246354059982e-05
"403","rs32008273",5,24651633,1.30061367327447e-05
"404","rs248294176",5,23720338,1.40871063583378e-05
"405","rs46826572",5,23075198,1.46496931157783e-05
"406","cfw-5-23882471",5,23882471,1.46664081233781e-05
"407","rs32027172",5,24283275,1.49223638486383e-05
"408","rs220732532",11,96846807,1.58063275933167e-05
"409","rs258591239",5,23793641,1.61220348257835e-05
"410","rs47010746",11,96857466,1.73627142484108e-05
"411","rs29433396",11,95832520,1.74534044914769e-05
"412","rs47469731",5,24278060,1.87878983369151e-05
"413","rs29823085",5,23003873,1.91727953910312e-05
"414","rs29518913",5,24672511,1.92268479104341e-05
"415","rs33520589",5,24635518,1.93382763989533e-05
"416","rs228211882",5,25146890,1.97379775307076e-05
"417","rs225675941",11,97130332,2.11912648099816e-05
"418","rs6379606",5,24750383,2.21116255505361e-05
"419","rs108869245",11,96451595,2.23212990810914e-05
"420","rs32030727",5,24278373,2.24737418326536e-05
"421","rs46674320",11,96442682,2.25147384116649e-05
"422","rs32008929",5,24587519,2.27046653049775e-05
"423","rs220611625",5,24750393,2.30125680771599e-05
"424","rs31858794",5,21235080,2.31454453569099e-05
"425","rs52015226",11,96924246,2.48045319448443e-05
"426","rs27060346",11,94946173,2.67933130466765e-05
"427","rs47692812",5,23167892,2.68204172076903e-05
"428","rs46294752",5,23758078,2.7719765810541e-05
"429","rs36315140",5,25055730,2.8082739429526e-05
"430","rs29634020",5,23977825,2.85053752312313e-05
"431","rs245895783",5,24191885,2.85435547406507e-05
"432","rs234361421",11,95241840,2.90660335424082e-05
"433","rs32047973",5,23964766,2.97819101479587e-05
"434","rs49546807",11,95002358,3.02941324311622e-05
"435","rs6379533",5,24750332,3.03583950230108e-05
"436","rs49808122",5,24187245,3.06209035165669e-05
"437","rs32009843",5,24607084,3.08287559362593e-05
"438","rs49236855",5,23767068,3.08770748643304e-05
"439","rs49809108",11,96507444,3.12550714363651e-05
"440","rs29442639",11,95681333,3.12845527818192e-05
"441","rs29426250",11,95368982,3.19416201703681e-05
"442","rs3655408",5,23944737,3.24705762719478e-05
"443","rs33666769",5,23637966,3.38330109512483e-05
"444","rs219291474",5,24455649,3.63234587585341e-05
"445","rs32038334",5,24187151,4.24321541086519e-05
"446","rs219907822",5,25045266,4.27505939020845e-05
"447","rs239090639",5,25258338,4.44360156446858e-05
"448","rs29631218",5,24386049,4.45307019998626e-05
"449","rs29632951",5,23421993,4.46640712984061e-05
"450","rs33260858",5,21830942,4.74741534387103e-05
"451","rs29406933",11,95681355,4.81884883432874e-05
"452","rs33633303",17,4381608,4.96987573356061e-05
"453","rs46462282",5,24190761,5.08999969366888e-05
"454","rs32015982",5,24406909,5.34389631956923e-05
"455","rs242782105",5,24635495,5.41842258522427e-05
"456","rs33113986",5,24609375,5.46937028073417e-05
"457","rs46314539",5,24651507,5.54452786897361e-05
"458","rs29403027",11,98168626,5.6204246826117e-05
"459","rs26992382",11,95634738,5.97609630886233e-05
"460","rs232133000",1,179306462,6.01436715924651e-05
"461","rs32069306",5,23767038,6.0447504884985e-05
"462","rs247062529",5,23874431,6.09242396703048e-05
"463","rs46047813",11,95235092,6.14829604000115e-05
"464","rs27070729",11,95246014,6.16347871468268e-05
"465","rs245594080",5,23985060,6.1792398255174e-05
"466","rs241324927",5,23180575,6.26660646091842e-05
"467","rs32085037",5,23508777,6.35073545078857e-05
"468","rs212302009",11,96442060,6.84563169924253e-05
"469","rs29449236",11,95000824,7.13218347400727e-05
"470","rs33037792",5,23807218,7.44246899806658e-05
"471","rs27042323",11,95324746,7.46035742276966e-05
"472","rs51244650",11,95743873,7.48558440169683e-05
"473","rs33498170",5,23608629,7.71070565063049e-05
"474","rs48074926",5,25653076,7.91400167634772e-05
"475","rs46617653",5,24625846,8.17704112152264e-05
"476","cfw-7-63958901",7,63958901,8.74923987672176e-05
"477","rs29631532",5,24587517,8.87631725878202e-05
"478","rs46368383",5,24651475,9.15958711957976e-05
"479","rs260800118",11,97892778,9.567156247754e-05
"480","rs226316601",5,24191913,9.91962592274372e-05
"481","rs33199609",5,24440368,0.000110258838153102
"482","rs33485215",5,23875462,0.00011402890746522
"483","rs254071775",11,95141029,0.000117511761746243
"484","rs50956636",11,95615628,0.000118444658927576
"485","rs243860089",5,23039312,0.00012285530279897
"486","rs16800920",5,27707826,0.000125631572434254
"487","rs45929300",5,27497701,0.000127673032257983
"488","rs3160604",5,25670895,0.000127906353422882
"489","rs29583532",5,24432649,0.000129432841400152
"490","rs32031563",5,24274964,0.000130782877148091
"491","rs27055434",11,95753179,0.000138190009272178
"492","rs46656597",11,95743927,0.000140548073306346
"493","rs245295468",5,24262746,0.000144133779344992
"494","rs27087589",11,95501819,0.000150453333605889
"495","rs29394647",11,96536752,0.000151495032790008
"496","rs6297084",5,24862366,0.000152359824505919
"497","rs46626308",5,24625771,0.000154325757136237
"498","rs108563062",17,49469290,0.000155259247109933
"499","rs29779720",5,23067688,0.00015625440465616
"500","rs48290901",11,96596450,0.000162728980504127
"501","rs33325511",5,24820600,0.000165633827859105
"502","rs32060188",5,23794308,0.000170147128070967
"503","rs45981686",5,23853968,0.000170970921693235
"504","rs47642984",5,24190777,0.000172605736964007
"505","rs248492627",5,23000101,0.00017734887027243
"506","rs217743891",5,24862357,0.000178391328237935
"507","rs49128436",5,24188813,0.000178435813413245
"508","rs29682567",13,94071166,0.00018510089612117
"509","rs52019676",5,24653157,0.000186141548271494
"510","cfw-5-25064558",5,25064558,0.000186509058164302
"511","rs229598227",5,25591571,0.000191514860103574
"512","rs48301863",5,21602105,0.000194383290433832
"513","rs249391710",1,175712844,0.00019890365498544
"514","rs48291333",11,95302833,0.000201276509758667
"515","rs244823184",5,24944491,0.000201631595671927
"516","cfw-5-24941677",5,24941677,0.000202414347022241
"517","rs220886249",5,25636075,0.000202662947668796
"518","rs31995387",5,24827047,0.00020286505793083
"519","rs234467532",5,25007180,0.000203494232275261
"520","rs259159647",5,23167859,0.000203706963977583
"521","rs49267513",1,34772407,0.000217443668261562
"522","rs49536360",5,24919820,0.000228873014361173
"523","rs47909646",5,24614782,0.000234333210108678
"524","rs50977841",9,115715452,0.000238908753102767
"525","rs51309550",5,24962476,0.00024278182236278
"526","rs27070730",11,95245968,0.000247067841750772
"527","rs46773688",5,24873391,0.000248482690693364
"528","rs28158582",4,104793999,0.000254070426829355
"529","rs46309488",17,48955169,0.000255483097502255
"530","rs33557290",6,17571178,0.000256354090536217
"531","rs51158581",5,24886055,0.000257372407698064
"532","rs108479933",5,24210055,0.000261252359789772
"533","rs31889676",5,20817562,0.000263877625014041
"534","rs49069235",5,24625074,0.00026541993722873
"535","rs33366399",9,116055335,0.000272833861153059
"536","rs36838957",5,25064021,0.000282168743777134
"537","rs50749625",5,23758087,0.000285919242806361
"538","rs37455356",5,22990533,0.000291850801605662
"539","rs47026377",5,21150362,0.000295015070755802
"540","rs226041806",5,21397613,0.000295113921956635
"541","cfw-5-21136722",5,21136722,0.000297423522854965
